Player Name,Total Fished One Week Ago,Total Fished,Weekly Total Fished,Last Updated
Kayotogon,85952,85952,0,2023-07-08 22:57:24
tugo,283444,283444,0,2023-07-08 22:57:24
Azvathan,118111,118111,0,2023-07-08 22:57:24
EngeBoykie,210145,210145,0,2023-07-08 22:57:24
MaxCraftDu51,148733,148733,0,2023-07-08 22:57:24
Gnasez,527551,527551,0,2023-07-08 22:57:24
iPyxis,116411,116411,0,2023-07-08 22:57:24
LostFriendships,0,0,0,2023-07-08 22:57:24
TheRhan,91153,91153,0,2023-07-08 22:57:24
TastiestPizza,552066,552066,0,2023-07-08 22:57:24
FearNotMyCookies,99505,99505,0,2023-07-08 22:57:24
SoutifDeLuxe,936545,936545,0,2023-07-08 22:57:24
Fishhub,42872,42872,0,2023-07-08 22:57:24
AgentEKD,117906,117906,0,2023-07-08 22:57:24
tomimati,238424,238424,0,2023-07-08 22:57:24
ScaredRat,139126,139126,0,2023-07-08 22:57:24
Dragonfruittt,110116,110116,0,2023-07-08 22:57:24
Ritter_desRechts,55323,55323,0,2023-07-08 22:57:24
Deentr0x,172881,172881,0,2023-07-08 22:57:24
Qurq,156003,156003,0,2023-07-08 22:57:24
1zez,340959,340959,0,2023-07-08 22:57:24
GoldTrophyFisher,135113,135113,0,2023-07-08 22:57:24
RabiesPOTAO,120448,120448,0,2023-07-08 22:57:24
Smoothingo,53361,53361,0,2023-07-08 22:57:24
fairevel,26203,26203,0,2023-07-08 22:57:24
LostEmotions,9070,9070,0,2023-07-08 22:57:24
npthxn,43668,43668,0,2023-07-08 22:57:24
Nayoline,66915,66915,0,2023-07-08 22:57:24
GGpainGG,68454,68454,0,2023-07-08 22:57:24
WaterHydras_Bot,0,0,0,2023-07-08 22:57:24
Festibal,177157,177157,0,2023-07-08 22:57:24
Gay_Ancestor,45468,45468,0,2023-07-08 22:57:24
Rachie_,116244,116244,0,2023-07-08 22:57:24
CLOWNLMAOOOOOOOO,39707,39707,0,2023-07-08 22:57:24
SHIFT_MC,17210,17210,0,2023-07-08 22:57:24
Cyrozome,105326,105326,0,2023-07-08 22:57:24
lilaflorae,228639,229175,536,2023-07-08 22:57:24
TechnoDeluxe,83556,83556,0,2023-07-08 22:57:24
CLOWNUUUUUWUUUUU,22615,22615,0,2023-07-08 22:57:24
felixg221,53375,53375,0,2023-07-08 22:57:24
ollzanon,7552,7552,0,2023-07-08 22:57:24
PalezatorCookie,32350,32350,0,2023-07-08 22:57:24
FrlogProd,19965,19965,0,2023-07-08 22:57:24
Mai_Senpai_,202881,202881,0,2023-07-08 22:57:24
SakutaBeLike_,80737,80737,0,2023-07-08 22:57:24
HedgeHog___,24200,24200,0,2023-07-08 22:57:24
EngriFrogh2307,42308,42308,0,2023-07-08 22:57:24
OhSharp,106278,106278,0,2023-07-08 22:57:24
rowantb,28945,28945,0,2023-07-08 22:57:24
Frytonur,19690,19690,0,2023-07-08 22:57:24
Bos_3590,39345,39345,0,2023-07-08 22:57:24
Nikyi,215598,215923,325,2023-07-08 22:57:24
cat_mp4,20165,20165,0,2023-07-08 22:57:24
Nateroo11803,15919,15919,0,2023-07-08 22:57:24
InkingDemon,83516,83516,0,2023-07-08 22:57:24
EverlastingNycoo,43153,43153,0,2023-07-08 22:57:24
noax0147,23485,23485,0,2023-07-08 22:57:24
Viktor_pog,1826,1826,0,2023-07-08 22:57:24
IGruntWhenIFart,10422,10422,0,2023-07-08 22:57:24
Hakapit,62528,62528,0,2023-07-08 22:57:24
ImEmotionless,50222,50222,0,2023-07-08 22:57:24
FishermanCatto,120493,120493,0,2023-07-08 22:57:24
35pl,57366,57366,0,2023-07-08 22:57:24
unbladed,63359,63359,0,2023-07-08 22:57:24
butter_lord_2,5143,5143,0,2023-07-08 22:57:24
foureyedjimmy,112562,112562,0,2023-07-08 22:57:24
xDivisible,56512,56512,0,2023-07-08 22:57:24
NBmaster123,74793,74793,0,2023-07-08 22:57:24
Flizyy,11723,11723,0,2023-07-08 22:57:24
XAN_D3R,16215,16215,0,2023-07-08 22:57:24
wolter47,18789,18789,0,2023-07-08 22:57:24
JustNyxx_,51397,51397,0,2023-07-08 22:57:24
ThePietz,73654,73654,0,2023-07-08 22:57:24
BrisingDeLuxe,4091,4091,0,2023-07-08 22:57:24
Fantomhydra,37421,37421,0,2023-07-08 22:57:24
K2nz0,86242,86242,0,2023-07-08 22:57:24
Phosur,51935,51935,0,2023-07-08 22:57:24
SadTime_,56409,56409,0,2023-07-08 22:57:24
Parriwis,59339,59339,0,2023-07-08 22:57:24
